CacheSize,Throughput,Avg Latency,Latency50,Latency99,MissRate,RemoteHitRate,LocalHitRate,Disk_access,Remote_disk,DataCoverage,Similarity,SorensenSimilarity,AccessRate
33,1443208.7397319078,33.35110110123093,30.372583333333335,182.15431020833321,0.6660744382134406,0.9809581683985182,0.3339255818361603,0.0,0.012683277286511875,0.99063,0.0006287425149700599,0.01702095808383236,40000000
33,1427666.2991613767,33.6877912768045,30.530354166666665,190.81968479166662,0.6660767217728116,0.981587696318409,0.333923288337814,0.0,0.012264006876519577,0.99103,0.00047904191616766467,0.016422155688622764,5000
30,1063922.0076564094,45.160733263080544,27.28232291666667,272.3218870833332,0.7000577691414946,0.8571895811215228,0.29994223085850535,0.023667849657406224,0.07630769359282294,0.9,0.0,0.0,5000
30,1063547.4019603822,45.19924610518111,26.96647916666667,279.23238874999987,0.7000720301231805,0.857219428883014,0.2999279835139809,0.023716605711055033,0.07624007857296052,0.9,0.0,0.0,40000000
25,634689.658781721,75.7442299702072,25.677645833333333,372.94838416666653,0.7499173359071367,0.6667134486816283,0.2500826640928633,0.07612394427340367,0.17381341838494682,0.75,0.0,0.0,40000000
25,625787.557305289,76.75550941291958,25.701270833333336,378.060673125,0.7499731956123975,0.6666089198466548,0.2500268274649917,0.07594731875122339,0.17408705502004987,0.75,0.0,0.0,5000
20,428592.0367033501,112.09900341819952,27.37726041666667,435.4643789583333,0.8000048548199011,0.5000823610497745,0.19999514518009887,0.12750053021952482,0.272436007950758,0.6,0.0,0.0,5000
20,428099.5240814316,112.17602176788098,26.74309375,436.81258791666664,0.7999640677147292,0.49996387599684666,0.20003596638309326,0.127394647446588,0.2726162843152813,0.6,0.0,0.0,40000000
15,322363.8754586485,148.96016809603668,176.5622395833333,473.87360812499986,0.8499596270617356,0.35297060527669816,0.15004037293826447,0.1783490855263857,0.3715997775106124,0.45,0.0,0.0,5000
15,321137.09077923966,149.5341885851481,176.3847395833333,475.93556979166664,0.849944874066844,0.353151171465531,0.15005512593315598,0.17835939960479733,0.3714264465042175,0.45,0.0,0.0,40000000
15,282464.42272598826,169.97081747063353,194.73877083333332,498.98526979166667,0.8499178858650113,0.2730253076359892,0.15008211413498876,0.10579501348720782,0.5120737801241791,0.19175,0.6509333333333334,0.8608333333333333,50
33,273957.628288494,175.25938234297976,199.80963541666665,496.8271502083332,0.6659730154433708,0.008178093823406061,0.33402698455662916,0.0,0.6605266256392183,0.33941,0.9783532934131737,0.9919011976047903,50
10,259446.16508334505,185.05962399935189,204.38965625,490.2407183333332,0.8999542524721906,0.22230913406664243,0.10004574752780941,0.2289221734731035,0.47096402843240187,0.29976,0.0,0.0012000000000000344,50
30,258622.10986084578,185.64033176395841,206.36108333333334,515.4169545833332,0.7000110192120194,0.010323328450742809,0.2999889807879806,3.09963769884757e-07,0.6927842655777846,0.30575,0.9742333333333333,0.9904166666666666,50
10,257456.02957036335,186.4941122775148,205.41383333333332,503.6366741666666,0.8999413789897468,0.22232396524196546,0.1000586210102532,0.22914113057373595,0.47072171255368794,0.3,0.0,0.0,40000000
10,256510.8397497213,187.14482751176388,205.41498958333332,510.52225854166664,0.8999032741348082,0.22230726854033528,0.10009672586519179,0.22899098847577512,0.4708572468356193,0.3,0.0,0.0,5000
25,243490.70536397333,197.14583558364097,212.34955208333335,512.5848864583331,0.7501342610969716,0.015027404848511028,0.24986573890302846,1.8227105445115445e-05,0.7388434627592836,0.25652,0.96568,0.98696,50
20,237896.9084551112,201.79579578518792,214.46351041666665,515.1416739583332,0.7999068212717684,0.09755791618509334,0.2000931787282316,0.008378003123277074,0.7134915755229757,0.20876,0.942,0.9781,50
